titulo,url,nome_do_canal,data,fonte,dici_teste_id
Micoses oportunistas - Criptococose,https://www.youtube.com/watch?v=U7rNnk_GtYI,,Acesso em: 4/5/2024,Youtube,25
PNEUMONIAS FÚNGICAS: CRIPTOCOCOSE,https://www.youtube.com/watch?v=NeqWBLC1KdY,,Acesso em: 4/5/2024,Youtube,25
CRIPTOCOCOSE OU ESPOROTRICOSE? Saiba a DIFERENÇA e o TRATAMENTO desses Fungos em gatos,https://www.youtube.com/watch?v=pGQ8auAZeQw,,Acesso em: 4/5/2024,Youtube,25
HISTOPLASMOSE/CRIPTOCOCOSE,https://www.youtube.com/watch?v=DbcRzmJu7_0,,Acesso em: 4/5/2024,Youtube,25
Meningite por _Cryptococcus sp_ O fungo das fezes de pombo I #Café Biomédico 7,https://www.youtube.com/watch?v=frOCyp3wqgo,,Acesso em: 4/5/2024,Youtube,25
O que é Criptococose e como pode ser transmitida?,https://www.youtube.com/watch?v=8OC9BfKUWBc,,Acesso em: 4/5/2024,Youtube,25
Criptococose renal,https://www.youtube.com/watch?v=3AVow3LJe_M,,Acesso em: 4/5/2024,Youtube,25
Como Tratar de Criptococose,https://www.youtube.com/watch?v=eNHadlwkj8E,,Acesso em: 4/5/2024,Youtube,25
Criptococose: O famoso nariz de palhaço,https://www.youtube.com/watch?v=9nucin-HS9k,,Acesso em: 4/5/2024,Youtube,25
CRIPTOCOCOSE DISSEMINADA: CASO CLÍNICO E TRATAMENTO - COMPREENDENDO ESTA INFECÇÃO FÚNGICA,https://www.youtube.com/watch?v=JWJXBibwIvQ,,Acesso em: 4/5/2024,Youtube,25
DOENÇAS FÚNGICAS - Criptococose,https://www.youtube.com/watch?v=3NuvbsO6MPI,,Acesso em: 4/5/2024,Youtube,25
ACHADOS DE IMAGEM NA NEUROCRIPTOCOCOSE,https://www.youtube.com/watch?v=t8Sg3gtJ--I,,Acesso em: 4/5/2024,Youtube,25
DOENÇA DO POMBO | Aula de Biologia - Criptococose,https://www.youtube.com/watch?v=nmOXTwBvXjA,,Acesso em: 4/5/2024,Youtube,25
Esporotricose e Criptococose - Causas e Tratamento,https://www.youtube.com/watch?v=NCkSuDz6nQw,,Acesso em: 4/5/2024,Youtube,25
A criptococose ou “Doença do Pombo” possui taxa de letalidade de 40% em humanos,https://www.youtube.com/watch?v=tnvh0r-jwAI,,Acesso em: 4/5/2024,Youtube,25
Criptococose,https://www.youtube.com/watch?v=ueqNoo0JKKQ,,Acesso em: 4/5/2024,Youtube,25
Surto de Criptococose urbana,https://www.youtube.com/watch?v=X7hI9ZoeIUM,,Acesso em: 4/5/2024,Youtube,25
Criptococose,https://www.youtube.com/watch?v=tHvCdQwENBU,,Acesso em: 4/5/2024,Youtube,25
Criptococose Cutânea Primária: Relato de Caso,https://www.youtube.com/watch?v=n07_dqR6UUw,,Acesso em: 4/5/2024,Youtube,25
FUNGOS EM GATOS,https://www.youtube.com/watch?v=hBOSHG_me0M,,Acesso em: 4/5/2024,Youtube,25
Criptococose,https://www.youtube.com/watch?v=RNSb10czyDs,,Acesso em: 4/5/2024,Youtube,25
Diagnóstico do câncer de boca - Dr Jônatas Catunda,https://www.youtube.com/watch?v=OYkTb3LDVac,,Acesso em: 4/5/2024,Youtube,26
Dentista Flávio Farias tira todas as dúvidas sobre o câncer de boca,https://www.youtube.com/watch?v=HkQ6BQGojOk,,Acesso em: 4/5/2024,Youtube,26
