titulo,url,nome_do_canal,data,fonte,anatomia_id
Treino Completo Para Deixar o BÍCEPS MAIS LARGO,https://www.youtube.com/watch?v=hjH4f3v1D5o,,Acesso em: 11/5/2024,Youtube,36
TREINO DE BÍCEPS COMPLETO Para Crescer Todas Cabeças,https://www.youtube.com/watch?v=hSzcih8RAzI,,Acesso em: 11/5/2024,Youtube,36
Tylenol sinus - como usar corretamente? É um bom remédio  para a sinusite?,https://www.youtube.com/watch?v=iBTUY6G2H4o,,Acesso em: 11/5/2024,Youtube,37
Drain Sinus &amp; Clear Stuffy Nose in 1 Move | Created by Dr. Mandell,https://www.youtube.com/watch?v=I47xi2F3W9g,,Acesso em: 11/5/2024,Youtube,37
Diagnosing sinus headaches,https://www.youtube.com/watch?v=biqgnBxAIo4,,Acesso em: 11/5/2024,Youtube,37
Zezé Di Camargo &amp; Luciano - Seus Olhos (Áudio Oficial),https://www.youtube.com/watch?v=pqkq3d9pR9U,,Acesso em: 11/5/2024,Youtube,38
Vibrações - Olhos Verdes (Vídeo Oficial),https://www.youtube.com/watch?v=nAen3fq20vs,,Acesso em: 11/5/2024,Youtube,38
OLHOS DE LUA | Eduardo Costa (Clipe Oficial),https://www.youtube.com/watch?v=RPQ5m4WmusY,,Acesso em: 11/5/2024,Youtube,38
A Familia dos Dedos (Fingers Family) em Português  + outras 6 Musicas Infantis com Os Amiguinhos,https://www.youtube.com/watch?v=YXlxFH7MCac,,Acesso em: 11/5/2024,Youtube,39
A Família Dos Dedos Coloridos de Halloween #1 |Música infantil | Um Herói do Coração,https://www.youtube.com/watch?v=IaC8yat3lM0,,Acesso em: 11/5/2024,Youtube,39
HooplaKidz Brasil | Família Dedo Estelar | Finger Family Collection | Músicas Infantis,https://www.youtube.com/watch?v=TOgxSStj1u0,,Acesso em: 11/5/2024,Youtube,39
"Anatomia da Mão: Ossos do Carpo, Metacarpos e Falanges - Sistema Esquelético/Ósseo - VideoAula 054",https://www.youtube.com/watch?v=ReG5QSyylPE,,Acesso em: 11/5/2024,Youtube,40
Anatomia óssea dos MMSS - (Parte 2/5) - Ossos da mão - METACARPOS e FALANGES,https://www.youtube.com/watch?v=SJlgf3M4JKY,,Acesso em: 11/5/2024,Youtube,40
"Conhecendo os ossos das mãos e pés: Carpo, Tarso, Metacarpos, Metatarsos e Falanges",https://www.youtube.com/watch?v=W2UuirrguzU,,Acesso em: 11/5/2024,Youtube,40
ANATOMIA HUMANA - Coração (Parte 1) - Pericárdio,https://www.youtube.com/watch?v=IK-iiNcwSBM,,Acesso em: 11/5/2024,Youtube,41
ANATOMIA DO PERICÁRDIO #5,https://www.youtube.com/watch?v=wopcxZZAcGw,,Acesso em: 11/5/2024,Youtube,41
Histologia Cardíaca - Pericárdio,https://www.youtube.com/watch?v=FfCgJ0wAPH0,,Acesso em: 11/5/2024,Youtube,41
70 tipos de BIGODE para HOMENS usarem,https://www.youtube.com/watch?v=MwfiOqhU5vw,,Acesso em: 11/5/2024,Youtube,42
Não Cometa Estes Erros Quando For Aparar Seu Bigode,https://www.youtube.com/watch?v=mBrb8argrN0,,Acesso em: 11/5/2024,Youtube,42
MULHER gosta de BIGODE? SIM OU NÃO? (Fui pras Ruas Descobrir),https://www.youtube.com/watch?v=jSeAQbY7DzU,,Acesso em: 11/5/2024,Youtube,42
COMO REALÇAR AS SOBRANCELHAS DE UM JEITO FÁCIL E NATURAL - #Tutorial09,https://www.youtube.com/watch?v=m1BX48Lh-AU,,Acesso em: 11/5/2024,Youtube,43
Como fazer as sobrancelhas sozinha em casa por Letícia Gomes,https://www.youtube.com/watch?v=IA5DRXMDOh0,,Acesso em: 11/5/2024,Youtube,43
Design de sobrancelha | Tutorial de design de sobrancelhas,https://www.youtube.com/watch?v=Byzt58LOZ7U,,Acesso em: 11/5/2024,Youtube,43
Como acabar com as RUGAS da GLABELA? | Sua Dúvida Vira Vídeo #69,https://www.youtube.com/watch?v=EpGReJOCd88,,Acesso em: 11/5/2024,Youtube,44
Como melhorar o buraco da Glabela?,https://www.youtube.com/watch?v=sTlGVywQwRU,,Acesso em: 11/5/2024,Youtube,44
Saiba tudo sobre a GLABELA | Por que é tão difícil tratar essa região? Botox® pode?,https://www.youtube.com/watch?v=gRyVdPu0dE4,,Acesso em: 11/5/2024,Youtube,44
Perineoplastia: como é a recuperação e pós-operatório,https://www.youtube.com/watch?v=G63C8wZNhuY,,Acesso em: 11/5/2024,Youtube,45
Preparo do Períneo,https://www.youtube.com/watch?v=FTZ3cqUEXlQ,,Acesso em: 11/5/2024,Youtube,45
PERINEOPLASTIA: QUAIS OS CUIDADOS ANTES E DEPOIS DA CIRURGIA - DR RENATO HOSOUME,https://www.youtube.com/watch?v=esD4hKYh3P0,,Acesso em: 11/5/2024,Youtube,45
TENDÃO OU LIGAMENTO ESSA DÚVIDA VOCÊ NUNCA MAIS VAI TER!,https://www.youtube.com/watch?v=-yhNcIh9KQQ,,Acesso em: 11/5/2024,Youtube,46
Os músculos e tendões do ombro se regeneram? | Dr. Carlos Macedo &amp; Dr. André Kruel,https://www.youtube.com/watch?v=iQHAGc-lxl4,,Acesso em: 11/5/2024,Youtube,46
Tendinite do ombro tem cura? Veja as causas e quais as consequências de não se tratar corretamente!,https://www.youtube.com/watch?v=1znkdaWY5e0,,Acesso em: 11/5/2024,Youtube,46
DOR NA TESTA É PERIGOSO? O Que Pode Ser? O Que Fazer?,https://www.youtube.com/watch?v=D1ywwznYMAc,,Acesso em: 11/5/2024,Youtube,47
Quer se livrar das rugas na testa? Como prevenir e qual o melhor tratamento para rugas na testa?,https://www.youtube.com/watch?v=JUCcpjLZBDs,,Acesso em: 11/5/2024,Youtube,47
Como aumentar a Intensidade no Tríceps Testa? - Torque na Musculação #6,https://www.youtube.com/watch?v=KS-0CPSc0No,,Acesso em: 11/5/2024,Youtube,47
Como saber se os testículos são pequenos ou normais?,https://www.youtube.com/watch?v=oh1NYrwLdgs,,Acesso em: 11/5/2024,Youtube,48
DOR NOS TESTÍCULOS: como aliviar?,https://www.youtube.com/watch?v=foieuTSK2sc,,Acesso em: 11/5/2024,Youtube,48
5 Sintomas do Câncer de testículo!,https://www.youtube.com/watch?v=3WMz20cQIH4,,Acesso em: 11/5/2024,Youtube,48
